mipn50,mipn100,mipn200,mipn300,mipn400,mipn500,man50,man100,man200,man300,man400,man500
4.448,4.159,5.547,0.132022,116.347,5.909,5.502,20.152,9.739,3.746,9.452,1.438
111.611,1.079,3.214,3.67,2.225,4.342,9.546,4.849,4.764,5.824,1.604,2.242
7.513,6.442,1.236,2.382,1.133,1.201,9.756,6.302,2.653,7.937,4.115,2.539
222.954,0.509277,1.686,3.508,1.787,403.755,5.023,4.523,4.365,1.975,5.168,1.017
9.015,3.204,1.238,2.456,2.886,0.663,7.892,4.241,1.927,1.661,5.104,1.006
181.706,142.179,81.695,75.294,75.556,52.991,289.541,130.332,158.021,5.568,108.211,165.983
137.887,143.062,158.341,164.825,136.046,86.54,325.493,108.283,115.874,102.631,167.233,139.076
258.494,154.879,77.263,115.962,91.76,162.631,160.388,268.379,14.983,215.822,201.837,260.085
87.563,6.101,100.452,88.248,115.328,97.261,110.228,263.992,200.648,136.026,228.287,13.589
258.692,105.57,92.379,68.117,78.609,62.009,212.211,172.391,112.39,162.71,199.244,9.225
1220.93,916.488,907.337,509.55,880.218,751.607,821.247,531.635,528.301,421.386,892.384,1749.848
1279.75,1348.86,992.02,1040.59,912.663,749.372,1182.235,1082.114,1152.223,578.102,664.623,1082.888
943.731,782.501,1087.64,816.459,743.438,1104.98,458.38,910.838,7.738,892.651,905.115,910.455
967.16,952.881,1010.67,960.002,1252.97,606.985,1002.832,1132.432,996.365,856.309,1003.576,4.869
852.229,1248.05,1042.52,1104.97,819.661,701.553,1201.398,521.843,1290.846,891.28,723.197,1213.708
2523.85,2847.39,1832.84,1909.82,1890.48,887.853,925.226,2536.142,1903.833,1578.098,3385.147,2241.563
1789.99,1914.38,1474.48,2047.72,1915.99,1235.63,3112.633,2573.377,2648.89,3748.481,1566.948,3296.385
2755.23,1285.85,1763.96,1918.96,2539.38,2522.59,2655.387,2837.741,3567.447,2675.087,2687.392,4176.629
2560.62,913.957,2268.29,2226.06,2033.83,1690.47,2217.288,2717.689,2738.474,2283.816,2641.911,2028.585
2030.88,1983.7,2265.23,2230.65,2534.14,1752.8,4881.732,4112.556,3647.498,2326.145,1502.449,2023.652
17393.3,14181.2,14272.3,11842.1,19035.6,19184.9,16234.725,16353.822,16635.145,14263.705,7838.938,13213.687
18556.2,15379.7,16694.7,17988.5,20364.7,19208.4,20182.273,18928.321,18837.398,18262.881,11550.494,10625.234
17833.9,16062.7,17290.2,20207.4,14412.8,19555.8,16373.839,15262.796,15928.005,16002.847,10144.09,10324.87
17055.1,17493.2,11745.5,18249.7,18021.9,19944.4,15025.637,17066.389,16377.385,18937.982,8654.046,17283.48
15114.8,15749.5,14621.6,13091.3,20445.2,15217.2,15263.833,15938.556,18272.902,18373.755,12992.594,15928.492
30311,30487.8,27746.6,30466.8,29555.5,31842.2,32383.653,31762.362,33384.028,35852.406,31043.73,21087.687
32625.3,25609.7,31319.6,37664.2,32100.9,32756.9,35572.124,28638.321,33262.398,31934.125,22411.202,29115.211
27787.8,22255.9,30788.3,36755,31755.1,32709.3,30826.276,33829.226,32443.839,29461.056,29609.658,26118.369
33823.9,31065.6,30035.2,35387.5,32766.1,34283.4,21723.622,31126.352,33023.752,35884.485,16293.763,28970.01
31718.8,24487.2,28660.8,30198.6,29317.5,26418.7,30025.245,29731.532,28363.822,31262.384,30466.451,22028.363
52826.3,50336.6,46416.1,46991.3,51048.1,47784.8,52876.443,47383.933,42393.927,45965.495,29765.538,33238.612
51917.9,47534.3,51462.9,56535.8,47661.2,53358.3,51662.929,46377.318,49272.912,44938.205,38740.68,39675.389
50560.9,47662.6,50139,43529.6,56310.1,49051.1,51983.338,45211.776,47397.803,41540.227,33469.524,39474.872
53956,43786.7,45235.4,49340,52217.2,52449.4,52632.307,46182.389,43526.398,46779.021,37467.746,43763.0979
48281.5,43926.3,49838.6,50129,45866,47057,48292.728,51822.651,41435.037,50829.114,44902.726,40654.702
